2025-07-01,Professional and business services,22403
2025-07-01,Retail trade,15430
2025-07-01,Total nonfarm,158542
2025-08-01,Construction,8239
2025-08-01,Financial activities,9185
2025-08-01,Health care and social assistance,23383
2025-08-01,Information,2860
2025-08-01,Leisure and hospitality,16870
2025-08-01,Manufacturing,12615
2025-08-01,Professional and business services,22375
2025-08-01,Retail trade,15440
2025-08-01,Total nonfarm,158472
2025-09-01,Construction,8255
2025-09-01,Financial activities,9189
2025-09-01,Health care and social assistance,23438
2025-09-01,Information,2859
2025-09-01,Leisure and hospitality,16907
2025-09-01,Manufacturing,12612
2025-09-01,Professional and business services,22359
2025-09-01,Retail trade,15453
2025-09-01,Total nonfarm,158548
2025-10-01,Construction,8243
2025-10-01,Financial activities,9184
2025-10-01,Health care and social assistance,23486
2025-10-01,Information,2853
2025-10-01,Leisure and hospitality,16948
2025-10-01,Manufacturing,12603
2025-10-01,Professional and business services,22335
2025-10-01,Retail trade,15438
2025-10-01,Total nonfarm,158408
2025-11-01,Construction,8279
2025-11-01,Financial activities,9185
2025-11-01,Health care and social assistance,23546
2025-11-01,Information,2848
2025-11-01,Leisure and hospitality,16936
2025-11-01,Manufacturing,12593
2025-11-01,Professional and business services,22391
2025-11-01,Retail trade,15437
2025-11-01,Total nonfarm,158449
2025-12-01,Construction,8275
2025-12-01,Financial activities,9186
2025-12-01,Health care and social assistance,23595
2025-12-01,Information,2842
2025-12-01,Leisure and hospitality,16981
2025-12-01,Manufacturing,12585
2025-12-01,Professional and business services,22406
2025-12-01,Retail trade,15402
2025-12-01,Total nonfarm,158497
