Manufacturing,2025-12-01,12585,305064
Professional and business services,2024-01-01,22668,22668
Professional and business services,2024-02-01,22658,45326
Professional and business services,2024-03-01,22631,67957
Professional and business services,2024-04-01,22616,90573
Professional and business services,2024-05-01,22633,113206
Professional and business services,2024-06-01,22606,135812
Professional and business services,2024-07-01,22584,158396
Professional and business services,2024-08-01,22544,180940
Professional and business services,2024-09-01,22525,203465
Professional and business services,2024-10-01,22486,225951
Professional and business services,2024-11-01,22499,248450
Professional and business services,2024-12-01,22532,270982
Professional and business services,2025-01-01,22480,293462
Professional and business services,2025-02-01,22473,315935
Professional and business services,2025-03-01,22457,338392
Professional and business services,2025-04-01,22470,360862
Professional and business services,2025-05-01,22450,383312
Professional and business services,2025-06-01,22419,405731
Professional and business services,2025-07-01,22403,428134
Professional and business services,2025-08-01,22375,450509
Professional and business services,2025-09-01,22359,472868
Professional and business services,2025-10-01,22335,495203
Professional and business services,2025-11-01,22391,517594
Professional and business services,2025-12-01,22406,540000
Retail trade,2024-01-01,15524,15524
Retail trade,2024-02-01,15529,31053
Retail trade,2024-03-01,15529,46582
Retail trade,2024-04-01,15531,62113
Retail trade,2024-05-01,15536,77649
Retail trade,2024-06-01,15500,93149
Retail trade,2024-07-01,15481,108630
Retail trade,2024-08-01,15458,124088
Retail trade,2024-09-01,15457,139545
Retail trade,2024-10-01,15452,154997
Retail trade,2024-11-01,15410,170407
Retail trade,2024-12-01,15460,185867
Retail trade,2025-01-01,15459,201326
Retail trade,2025-02-01,15442,216768
Retail trade,2025-03-01,15458,232226
Retail trade,2025-04-01,15462,247688
Retail trade,2025-05-01,15440,263128
Retail trade,2025-06-01,15426,278554
Retail trade,2025-07-01,15430,293984
Retail trade,2025-08-01,15440,309424
Retail trade,2025-09-01,15453,324877
Retail trade,2025-10-01,15438,340315
Retail trade,2025-11-01,15437,355752
Retail trade,2025-12-01,15402,371154
Total nonfarm,2024-01-01,157032,157032
Total nonfarm,2024-02-01,157238,314270
Total nonfarm,2024-03-01,157466,471736
Total nonfarm,2024-04-01,157530,629266
Total nonfarm,2024-05-01,157608,786874
Total nonfarm,2024-06-01,157695,944569
Total nonfarm,2024-07-01,157748,1102317
Total nonfarm,2024-08-01,157757,1260074
Total nonfarm,2024-09-01,157912,1417986
Total nonfarm,2024-10-01,157945,1575931
Total nonfarm,2024-11-01,158079,1734010
Total nonfarm,2024-12-01,158316,1892326
Total nonfarm,2025-01-01,158268,2050594
Total nonfarm,2025-02-01,158310,2208904
Total nonfarm,2025-03-01,158377,2367281
Total nonfarm,2025-04-01,158485,2525766
Total nonfarm,2025-05-01,158498,2684264
Total nonfarm,2025-06-01,158478,2842742
Total nonfarm,2025-07-01,158542,3001284
Total nonfarm,2025-08-01,158472,3159756
Total nonfarm,2025-09-01,158548,3318304
Total nonfarm,2025-10-01,158408,3476712
Total nonfarm,2025-11-01,158449,3635161
Total nonfarm,2025-12-01,158497,3793658
