Information,69403,1.075936435058
Construction,197627,3.063759345437
Financial activities,220249,3.414462255021
Manufacturing,305064,4.729326868072
Retail trade,371154,5.753902736450
Leisure and hospitality,403687,6.258253269449
Professional and business services,540000,8.371477816979
Health care and social assistance,549632,8.520800176855
Total nonfarm,3793658,58.812081096675
